datetime,GISP2,EPICA Dome C CO2
-588090-05-04 05:53:33,,248.1
-587475-02-19 03:35:03,,250.2
-586991-08-02 17:34:51,,246.35
-586329-02-18 17:01:09,,238.78
-585939-10-24 12:45:09,,234.4
-585222-08-20 10:39:46,,225.99
-584771-08-23 07:52:50,,223.96
-582009-09-06 21:23:09,,210.64
-581624-03-25 18:41:12,,206.68
-580886-03-08 06:13:15,,209.88
-580505-12-13 18:33:45,,215.45
-579978-03-07 04:13:00,,219.41
-579597-12-13 16:33:30,,225.21
-579169-10-30 12:31:36,,230.26
-578864-06-24 13:23:14,,236.17
-578452-09-12 16:43:39,,243.81
-578261-12-24 05:23:39,,244.14
-577883-05-11 07:49:04,,251.47
-577331-12-05 04:58:50,,252.92
-576792-02-16 13:24:49,,249.06
-576246-02-15 19:11:11,,251.08
-575704-08-16 16:36:52,,251.34
-575165-05-17 22:14:41,,251.3
-574649-05-17 21:38:04,,252.9
-574163-08-16 22:05:39,,252.54
-573705-12-11 17:24:12,,248.86
-573284-07-07 15:16:49,,252.08
-572856-06-22 16:30:49,,251.86
-572415-10-28 07:58:48,,251.77
-571963-06-14 16:00:06,,248.72
-571526-09-21 02:57:07,,249.19
-571104-12-13 08:04:41,,247.66
-570720-08-07 12:08:51,,246.31
-570366-12-21 09:13:09,,250.3
-570025-10-13 13:52:10,,251.6
-569683-02-10 16:44:33,,249.6
-569311-01-11 13:49:42,,251.8
-568912-05-04 10:31:33,,251.8
-568513-01-04 13:06:11,,251.3
-568117-03-22 03:46:51,,250.0
-567734-07-16 19:07:56,,251.3
-567365-11-18 08:25:15,,250.2
-566980-04-27 01:28:57,,253.0
-566584-03-25 02:25:00,,252.8
-566254-04-30 13:12:44,,253.9
-565935-07-30 02:56:21,,253.2
-565599-10-26 03:49:31,,254.5
-565290-12-24 10:30:05,,253.9
-564968-02-13 07:36:53,,254.3
-564639-10-29 07:44:36,,253.7
-564295-03-02 13:54:00,,251.4
-563946-10-29 03:59:36,,252.6
-563589-07-04 18:05:33,,252.4
-563184-03-01 15:53:18,,251.4
-562774-02-08 01:10:32,,247.6
-562361-11-27 06:30:00,,245.8
-561978-07-25 20:24:53,,245.7
-561586-09-22 05:33:04,,242.3
-561185-08-13 04:13:58,,240.1
-560706-11-11 12:00:11,,234.1
-560361-12-22 05:38:54,,234.6
-559938-05-23 20:16:44,,231.9
-559501-09-21 05:10:41,,231.6
-559016-11-10 19:35:08,,228.3
-558487-11-04 15:13:30,,230.3
-557923-11-03 05:37:40,,230.2
-557687-09-14 06:13:40,,229.7
-557366-06-14 16:40:26,,234.5
-556828-10-08 21:00:17,,238.1
-556356-06-09 15:54:51,,240.4
-556205-11-25 05:55:00,,245.6
-555888-04-01 14:47:12,,250.5
-555707-04-27 00:30:18,,244.0
-555435-05-29 18:30:06,,249.1
-555249-10-23 22:00:08,,243.0
-554973-03-04 00:12:24,,241.0
-554457-06-10 14:21:57,,233.9
-553892-02-09 21:51:47,,226.7
-553208-02-09 13:47:54,,224.3
-552530-11-02 09:54:01,,223.6
-551859-10-21 23:17:42,,220.3
-551669-01-25 17:01:12,,222.1
-551296-06-20 03:30:31,,226.3
-551071-07-15 04:59:20,,222.3
-550732-11-22 19:12:38,,221.7
-550161-05-14 12:25:19,,219.9
-549431-05-13 07:44:41,,215.2
-548633-11-26 19:52:28,,213.6
-548281-09-22 08:07:25,,208.8
-547770-05-06 07:26:26,,202.5
-546821-09-03 16:28:41,,204.6
-545857-10-09 16:34:13,,209.7
-544880-04-20 15:42:55,,209.6
-543915-07-16 00:50:03,,210.3
-542936-06-16 22:16:18,,208.1
-541895-07-30 21:15:49,,203.6
-540790-03-28 07:59:56,,205.0
-539704-08-16 19:20:06,,211.2
-538634-08-16 22:59:58,,212.9
-537564-08-16 02:39:51,,206.4
-536491-09-07 21:42:57,,205.0
-535385-12-22 16:43:34,,199.4
-534229-12-21 16:17:21,,199.8
-533745-05-24 01:29:55,,190.5
-533094-11-18 16:51:38,,193.8
-532718-04-05 07:39:31,,195.1
-531982-03-14 15:54:32,,200.0
-531604-01-26 17:34:50,,204.4
-531038-11-14 00:15:33,,211.4
-530643-11-28 06:56:10,,214.5
-530129-09-05 18:33:48,,220.7
-529251-01-21 23:22:19,,220.3
-528341-12-05 03:15:02,,221.2
-527453-01-03 04:26:35,,222.7
-526567-09-30 01:15:34,,224.7
-525749-09-30 04:06:21,,227.8
-524946-08-16 19:51:48,,230.3
-524157-06-08 12:38:06,,233.7
-523387-06-08 00:28:06,,235.8
-522621-07-25 00:36:23,,236.8
-521852-08-11 12:55:04,,241.9
-519625-12-17 17:59:33,,243.5
-518872-08-14 22:37:57,,245.5
-518123-01-25 11:12:03,,247.7
-517379-04-19 16:02:21,,245.3
-516651-12-19 16:49:51,,245.5
-515926-06-01 09:53:33,,246.2
-515205-06-12 23:52:29,,247.2
-514471-06-12 18:26:54,,243.0
-513701-08-24 07:26:40,,241.5
-512898-08-24 19:05:57,,239.2
-512083-04-22 00:07:52,,238.2
-511255-09-07 08:06:51,,242.0
-510414-08-23 10:01:18,,235.2
-509563-12-21 01:24:28,,236.4
-508702-02-02 04:17:18,,233.4
-507835-06-09 23:59:42,,240.3
-506991-06-10 09:58:24,,237.0
-506168-09-12 16:59:42,,238.2
-505362-01-07 13:20:08,,236.0
-504534-09-08 19:24:15,,235.5
-503734-03-06 07:03:23,,233.9
-502962-08-21 06:47:21,,234.1
-502227-03-23 13:11:33,,232.2
-501469-06-27 02:23:02,,232.0
-500688-10-10 04:14:37,,231.2
-499912-12-28 11:25:57,,230.8
-499134-06-14 16:13:45,,228.2
-498355-08-19 02:13:26,,230.8
-497577-08-19 12:33:34,,230.6
-496788-12-28 02:31:41,,232.8
-496016-06-06 13:07:55,,236.5
-495238-10-12 19:30:08,,236.4
-494494-05-05 07:14:45,,237.6
