Age,d18O
2100.058,3.781
2102.242,3.661
2105.153,3.611
2108.276,3.681
2111.685,3.581
2115.435,3.851
2119.218,3.731
2122.92,3.701
2126.622,3.631
2130.323,3.351
2134.025,3.341
2137.727,3.391
2141.428,3.571
2144.282,3.881
2146.572,3.991
2148.42,3.991
2150.474,3.971
2152.528,4.201
2154.581,4.231
2156.635,4.131
2158.688,4.221
2160.742,4.021
2162.797,4.041
2164.853,3.881
2166.909,3.871
2168.965,3.761
2170.964,3.711
2173.622,3.631
2176.281,3.551
2178.945,3.431
2181.875,3.491
2184.469,3.361
2186.69,3.611
2189.135,3.561
2191.139,3.791
2193.42,3.681
2195.992,3.731
2198.56,3.791
2201.136,3.731
2203.685,3.531
2206.625,3.571
2209.625,3.281
2212.625,3.411
2215.867,3.381
2218.491,3.431
2221.407,3.491
2224.217,3.471
2226.552,3.511
2228.887,3.521
2231.214,3.371
2233.679,3.411
2236.105,3.751
2238.1,4.101
2240.095,4.031
2242.09,3.961
2244.084,3.971
2246.082,3.701
2248.079,3.621
2250.076,3.481
2252.073,3.551
2254.689,3.421
2257.495,3.201
2260.613,3.231
2263.731,3.231
2266.848,3.361
2269.654,3.481
2273.084,3.831
2276.089,3.811
2278.582,3.951
2281.072,4.081
2283.818,3.841
2286.065,3.811
2288.477,3.711
2290.864,3.531
2293.248,3.501
2295.639,3.241
2300.48,3.391
2303.465,3.361
2306.45,3.401
2309.436,3.681
2312.72,3.701
2317.496,3.771
2319.885,3.601
2322.327,3.491
2324.238,3.351
2325.99,3.441
2328.153,3.401
2330.119,3.331
2330.512,3.521
2333.265,3.361
2336.116,3.511
2338.645,3.551
2341.177,3.261
2343.709,3.091
2346.03,3.131
2348.212,3.381
2351.105,3.601
2353.478,3.831
2356.116,3.951
2358.753,3.761
2361.127,3.771
2363.754,3.591
2366.128,3.671
2368.508,3.501
2370.635,3.521
2372.977,3.301
2375.086,3.351
2377.629,3.111
2379.503,3.081
2381.378,3.101
2383.44,3.141
2385.315,3.331
2387.192,3.461
2389.256,3.651
2390.946,3.621
2392.823,3.751
2395.066,3.541
2397.402,3.861
2399.73,3.731
2402,3.651
2404.271,3.681
2406.533,3.621
2408.802,3.401
2411.072,3.291
2413.343,3.511
2415.613,3.481
2417.876,3.421
2420.135,3.381
2421.959,3.551
2423.974,3.931
2425.989,3.721
2428.004,4.081
2430.218,4.211
2432.286,3.471
2434.701,4.021
2437.116,4.101
2439.531,4.011
2441.947,3.841
2446.12,3.851
2448.132,3.851
2450.145,3.821
2451.956,3.921
2453.968,3.671
2456.09,3.551
2458.671,3.341
2461.511,3.291
2464.093,3.381
2466.674,3.211
2469.684,3.321
2472.908,3.671
2476.107,3.671
2479.274,3.971
2481.819,4.071
2483.645,4.161
2485.673,4.161
2487.499,4.031
2489.324,3.961
2491.387,3.861
2493.903,3.921
2496.147,3.501
2500.864,3.411
2503.059,3.561
2505.491,3.691
2507.688,3.881
2512.324,4.031
2514.207,4.181
2514.402,4.101
2516.352,4.121
2518.692,4.091
2520.837,4.091
2522.787,4.091
2524.542,4.061
2526.492,4.051
2528.247,3.851
2530.198,3.971
2532.345,3.831
2534.72,3.971
2536.791,3.711
2538.86,3.561
2540.722,3.531
2542.79,3.491
2545.272,3.411
2547.961,3.161
2551.271,3.181
2555.196,3.131
2556.167,3.471
2558.108,3.661
2560.05,3.601
2561.977,3.571
2563.901,3.441
2567.75,3.451
2569.677,3.461
2571.605,3.441
2573.532,3.321
2575.458,3.391
2577.383,3.181
2579.307,3.221
2581.232,3.271
2583.156,3.201
2585.081,3.251
2586.88,3.331
2588.613,3.281
2590.347,3.511
2592.081,3.711
2593.814,3.791
2595.545,3.731
2597.276,4.041
2599.007,4.001
2600.741,3.851
2602.475,3.911
2604.209,3.801
2605.941,3.911
2607.673,3.691
2609.404,3.701
2611.17,3.551
2613.02,3.451
2614.869,3.371
2616.727,3.381
2618.633,3.411
2620.951,3.421
2623.52,3.281
2626.425,3.311
2629.33,3.351
2632.2,3.561
2634.526,3.521
2636.852,4.051
2639.177,3.541
2641.503,3.771
2643.82,3.761
2646.149,3.791
2648.56,3.601
2650.97,3.521
2653.776,3.471
2656.787,3.231
2659.797,3.051
2662.627,3.171
2665.032,3.191
2667.438,3.271
2669.848,3.141
2672.259,3.361
2674.669,3.291
2676.876,3.551
2678.802,3.431
2680.728,3.761
2682.654,3.901
2684.483,3.841
2686.22,3.761
2687.958,3.611
2689.695,3.461
2691.423,3.511
2692.814,3.561
2694.361,3.551
2695.908,3.801
2697.454,3.771
2698.998,3.711
2700.541,3.831
2701.93,3.841
2703.477,3.831
2705.023,3.881
2706.724,3.611
2708.271,3.651
2709.816,3.501
2711.341,3.471
2713.002,3.971
2714.515,3.321
2715.877,3.491
2717.431,3.661
2718.961,3.601
2720.49,3.701
2722.06,3.601
2723.555,3.581
2725.104,3.461
2726.847,3.871
2728.591,3.651
2730.334,3.711
2732.583,3.531
2735.002,2.881
2737.499,3.021
2740.554,2.861
2743.608,3.041
2746.729,3.001
2751.078,3.141
2753.367,3.041
2757.942,3.211
2760,3.221
2762.286,3.381
2764.344,3.331
2766.859,3.411
2769.137,3.411
2771.267,3.571
2773.397,3.321
2775.743,3.321
2777.235,3.191
2778.942,3.161
2780.648,3.151
2782.354,3.221
2784.415,3.361
2786.634,3.221
2789.592,3.331
2793.42,3.361
2796.653,3.651
2798.747,3.331
2801.059,3.741
2802.793,4.041
2804.238,3.751
2805.972,3.781
2807.417,3.781
2809.412,3.771
2812.612,3.491
2815.622,3.411
2819.137,3.441
2822.185,3.291
2828.074,3.281
2830.623,3.331
2832.885,3.301
2834.863,3.421
2836.871,3.421
2838.879,3.511
2841.087,3.621
2843.227,3.441
2845.111,3.481
2846.808,3.591
2848.692,3.591
2850.385,3.451
2852.267,3.671
2854.336,3.311
2856.233,3.351
2858.075,3.281
2859.868,3.251
2861.576,3.301
2863.284,3.111
2864.821,3.401
2866.358,3.201
2868.069,3.231
2869.608,3.291
2871.319,3.301
2873.03,3.491
2874.909,3.621
2876.561,3.601
2878.191,3.721
2879.821,3.691
2881.747,3.471
2883.561,3.501
2885.421,3.471
2887.352,3.341
2889.206,3.371
2890.875,3.311
2892.819,3.291
2894.794,3.271
2896.769,3.221
2898.745,3.401
2900.72,3.361
2902.843,3.301
2904.764,3.241
2906.492,3.361
2908.413,3.481
2910.142,3.521
2912.062,3.511
2913.983,3.461
2916.096,3.561
2918.019,3.601
2919.941,3.691
2921.672,3.621
2923.403,3.561
2925.201,3.501
2927.118,3.251
2929.277,3.301
2931.886,3.181
2935.648,3.151
2939.937,3.211
2945.042,2.841
2948.804,3.051
2951.276,3.071
2953.216,2.991
2954.675,3.331
2954.918,3.121
2956.133,3.241
2957.106,3.431
2957.349,3.261
2959.537,3.121
2961.063,3.171
2961.645,3.251
2963.005,3.131
2963.588,2.961
2964.753,3.331
2965.53,3.491
2967.464,3.261
2969.381,3.261
2971.299,3.441
2973.217,3.511
2975.134,3.241
2977.053,3.301
2978.972,3.131
2980.892,2.751
2982.812,3.121
2984.732,2.861
2986.65,2.891
2988.604,2.991
2990.63,3.041
2992.655,3.121
2995.115,3.281
2998.777,3.331
3000.733,3.421
3002.781,3.411
3005.223,3.371
3007.665,3.711
3010.367,3.381
3013.08,3.611
3016.057,3.361
3018.559,3.341
3021.061,3.361
3023.091,3.421
3025.09,3.381
3027.089,3.231
3029.088,3.301
3031.088,2.871
3033.087,2.991
3035.098,3.021
3037.317,3.001
3039.535,3.041
3041.754,3.191
3043.973,3.141
3045.97,3.391
3048.19,3.171
3050.411,3.501
3052.633,3.261
3055.074,2.971
3057.24,3.031
3059.404,3.231
3061.568,2.881
3063.732,2.941
3065.896,3.061
3068.572,2.951
3071.28,2.861
3073.983,3.041
3076.686,3.011
3079.394,3.021
3082.101,3.011
3084.685,3.291
3087.265,3.181
3089.852,3.221
3092.439,3.301
3095.026,3.181
3097.612,3.341
3100.191,3.101
3102.778,2.981
3105.365,3.231
3107.952,3.071
3110.538,3.391
3113.117,3.091
3115.704,3.381
3118.291,3.221
3120.878,3.601
3123.455,3.211
3126.042,3.221
3128.63,3.511
3131.217,3.501
3133.419,3.591
3135.487,3.791
3137.589,3.711
3139.767,3.711
3142.242,3.401
3144.723,3.381
3147.019,3.461
3149.953,3.141
3153.051,3.191
3156.149,3.061
3159.247,3.201
3162.345,3.211
3165.443,3.191
3168.355,3.361
3170.831,3.331
3173.555,3.311
3178.516,3.451
3180.997,3.361
3183.489,3.311
3186.586,3.081
3189.437,3.061
3192.851,3.041
3196.55,3.221
3201.103,3.101
3205.94,3.321
3207.363,3.351
3209.64,3.091
3212.77,3.271
3215.331,3.101
3217.892,3.131
3219.883,3.161
3220.759,3.231
3223.007,3.331
3223.65,3.051
3224.294,3.121
3225.902,3.101
3227.51,3.091
3227.832,3.071
3228.476,3.211
3230.593,3.191
3231.68,3.051
3235.737,3.161
3240.161,3.161
3244.585,3.201
3249.009,2.961
3252.466,3.141
3255.814,2.961
3258.908,3.071
3263.02,3.101
3268.092,3.001
3272.697,3.071
3277.763,3.151
3281.914,3.151
3286.061,3.261
3288.611,3.841
3292.686,3.771
3296.454,3.571
3299.872,3.631
3303.153,3.841
3306.433,3.651
3309.699,3.471
3316.024,3.381
3319.055,3.411
3322.332,3.361
3325.608,3.201
3328.611,3.481
3330.929,3.231
3333.025,3.851
3335.122,3.661
3337.093,3.851
3339.026,3.551
3340.961,3.621
3342.896,3.621
3344.831,3.641
3346.854,3.451
3349.268,3.551
3351.681,3.441
3354.1,3.381
3356.519,3.391
3358.938,3.641
3361.353,3.071
3363.765,3.281
3366.184,3.161
3368.603,3.151
3371.021,3.171
3373.431,3.191
3375.85,3.141
3378.268,3.231
3380.687,3.141
3382.668,3.171
3384.601,3.531
3386.561,3.181
3388.578,3.291
3390.596,3.171
3392.614,3.271
3394.631,3.151
3396.649,2.851
3398.605,2.911
3400.498,3.341
3402.392,3.381
3404.286,3.201
3406.176,3.241
3408.056,3.171
3409.936,3.181
3411.655,3.041
3413.329,3.231
3414.959,3.181
3416.463,3.241
3417.967,3.371
3419.471,3.251
3420.975,3.321
3422.482,3.431
3423.988,3.351
3425.494,3.341
3427.001,3.231
3428.505,3.291
3430.009,3.161
3431.513,3.151
3433.017,2.891
3434.634,3.071
3436.306,2.991
3437.961,2.911
